feature,time,data
2016/5/9 17:45,1065,48
2016/5/9 18:00,1080,48
2016/5/9 18:15,1095,48
2016/5/9 18:30,1110,48
2016/5/9 18:45,1125,48
2016/5/9 19:00,1140,48
2016/5/9 19:15,1155,48
2016/5/9 19:30,1170,48
2016/5/9 19:45,1185,48
2016/5/9 20:00,1200,0
2016/5/9 20:15,1215,0
2016/5/9 20:30,1230,0
2016/5/9 20:45,1245,0
2016/5/9 21:00,1260,0
2016/5/9 21:15,1275,0
2016/5/9 21:30,1290,0
2016/5/9 21:45,1305,0
2016/5/9 22:00,1320,0
2016/5/9 22:15,1335,0
2016/5/9 22:30,1350,0
2016/5/9 22:45,1365,0
2016/5/9 23:00,1380,0
2016/5/9 23:15,1395,0
2016/5/9 23:30,1410,0
2016/5/9 23:45,1425,0
2016/5/10 0:00,0,0
2016/5/10 0:15,15,0
2016/5/10 0:30,30,0
2016/5/10 0:45,45,0
2016/5/10 1:00,60,0
2016/5/10 1:15,75,0
2016/5/10 1:30,90,0
2016/5/10 1:45,105,0
2016/5/10 2:00,120,0
2016/5/10 2:15,135,0
2016/5/10 2:30,150,0
2016/5/10 2:45,165,0
2016/5/10 3:00,180,0
2016/5/10 3:15,195,0
2016/5/10 3:30,210,0
2016/5/10 3:45,225,0
2016/5/10 4:00,240,0
2016/5/10 4:15,255,0
2016/5/10 4:30,270,0
2016/5/10 4:45,285,0
2016/5/10 5:00,300,0
2016/5/10 5:15,315,0
2016/5/10 5:30,330,0
2016/5/10 5:45,345,0
2016/5/10 6:00,360,0
2016/5/10 6:15,375,0
2016/5/10 6:30,390,0
2016/5/10 6:45,405,0
2016/5/10 7:00,420,0
2016/5/10 7:15,435,0
2016/5/10 7:30,450,0
2016/5/10 7:45,465,0
2016/5/10 8:00,480,0
2016/5/10 8:15,495,0
2016/5/10 8:30,510,48
2016/5/10 8:45,525,48
2016/5/10 9:00,540,48
2016/5/10 9:15,555,0
2016/5/10 9:30,570,0
2016/5/10 9:45,585,0
2016/5/10 10:00,600,0
2016/5/10 10:15,615,0
2016/5/10 10:30,630,0
2016/5/10 10:45,645,0
2016/5/10 11:00,660,0
2016/5/10 11:15,675,0
2016/5/10 11:30,690,0
2016/5/10 11:45,705,0
2016/5/10 12:00,720,0
2016/5/10 12:15,735,0
